Unique.Squirrel.ID,Hectare,Shift,Date,Hectare.Squirrel.Number,Age,Weight,Primary.Fur.Color,Highlight.Fur.Color,Combination.of.Primary.and.Highlight.Color,Color.notes,Location,Above.Ground.Sighter.Measurement,Specific.Location,Running,Chasing,Climbing,Eating,Foraging,Other.Activities,Kuks,Quaas,Moans,Tail.flags,Tail.twitches,Approaches,Indifferent,Runs.from,Other.Interactions
3A-PM-1017-03,03A,PM,10172018,3,Adult,615.3439337,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
30I-PM-1006-02,30I,PM,10062018,2,Adult,386.8904425,Gray,,Gray+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,
17C-PM-1013-01,17C,PM,10132018,1,Adult,606.0366241,Gray,,Gray+,,Ground Plane,FALSE,then perched on 2-ft high border fencing,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
9A-AM-1013-04,09A,AM,10132018,4,Juvenile,414.1041653,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
9E-PM-1014-02,09E,PM,10142018,2,Juvenile,879.3880736,Gray,"Black, Cinnamon","Gray+Black, Cinnamon",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
41D-AM-1014-02,41D,AM,10142018,2,Adult,659.8044204,Gray,,Gray+,,Above Ground,20,,FALSE,FALSE,FALSE,FALSE,FALSE,jumping,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
14G-AM-1012-02,14G,AM,10122018,2,,563.7004003,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,15,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
7H-PM-1006-09,07H,PM,10062018,9,Adult,630.4462883,Black,,Black+,,Ground Plane,FALSE,by tree,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,
38D-AM-1017-03,38D,AM,10172018,3,Adult,390.4577106,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,digging,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
22F-AM-1007-03,22F,AM,10072018,3,Adult,702.8481246,Cinnamon,"Gray, White","Cinnamon+Gray, White",large white highlight,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
5I-AM-1010-01,05I,AM,10102018,1,Adult,634.4157101,Gray,,Gray+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
12C-AM-1013-01,12C,AM,10132018,1,Adult,740.9609273,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,burying,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
3E-AM-1006-02,03E,AM,10062018,2,Adult,380.8087844,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,
3H-PM-1014-07,03H,PM,10142018,7,Adult,440.1119955,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
